,batch,grao,temp_amb,umid_amb,peso,timex,temp2,charge_bt_modificado,massa_grao,categoria_massa
64,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",186.64546905,102.91080798,215.23087253,2000,Acima de 2000
65,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",188.64578115,103.64290331,215.23087253,2000,Acima de 2000
66,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",190.6460981,104.32237755,215.23087253,2000,Acima de 2000
67,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",192.64540995,104.91130322,215.23087253,2000,Acima de 2000
68,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",194.64616135,105.58442111,215.23087253,2000,Acima de 2000
69,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",196.64557075,106.3319241,215.23087253,2000,Acima de 2000
70,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",198.6467504,107.01965709,215.23087253,2000,Acima de 2000
71,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",200.6463844,107.68342361,215.23087253,2000,Acima de 2000
72,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",202.64567795,108.3608748,215.23087253,2000,Acima de 2000
73,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",204.6460753,108.90993053,215.23087253,2000,Acima de 2000
74,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",206.6457624,109.55901683,215.23087253,2000,Acima de 2000
75,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",208.6461136,110.20770583,215.23087253,2000,Acima de 2000
76,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",210.6461249,110.84099118,215.23087253,2000,Acima de 2000
77,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",212.64594305,111.47226336,215.23087253,2000,Acima de 2000
78,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",214.6458836,112.0926202,215.23087253,2000,Acima de 2000
79,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",216.6462024,112.6467601,215.23087253,2000,Acima de 2000
80,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",218.64595565,113.2918489,215.23087253,2000,Acima de 2000
81,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",220.6465933,113.90387257,215.23087253,2000,Acima de 2000
82,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",222.64606135,114.54966977,215.23087253,2000,Acima de 2000
83,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",224.64653265,115.12599941,215.23087253,2000,Acima de 2000
84,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",226.646034,115.76592871,215.23087253,2000,Acima de 2000
85,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",228.64668695,116.3752957,215.23087253,2000,Acima de 2000
86,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",230.6460881,116.993755,215.23087253,2000,Acima de 2000
87,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",232.6456171,117.61852535,215.23087253,2000,Acima de 2000
88,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",234.6461491,118.24958236,215.23087253,2000,Acima de 2000
89,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",236.6456899,118.877837,215.23087253,2000,Acima de 2000
90,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",238.6454124,119.48231091,215.23087253,2000,Acima de 2000
91,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",240.646223,120.09608528,215.23087253,2000,Acima de 2000
92,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",242.64580905,120.71213221,215.23087253,2000,Acima de 2000
93,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",244.6455505,121.32204014,215.23087253,2000,Acima de 2000
94,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",246.64640735,121.90503312,215.23087253,2000,Acima de 2000
95,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",248.64595165,122.47370469,215.23087253,2000,Acima de 2000
96,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",250.64642455,123.06606504,215.23087253,2000,Acima de 2000
97,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",252.6465516,123.71993657,215.23087253,2000,Acima de 2000
98,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",254.64627415,124.3116084,215.23087253,2000,Acima de 2000
99,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",256.64564315,124.84395845,215.23087253,2000,Acima de 2000
100,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",258.64551025,125.42891987,215.23087253,2000,Acima de 2000
101,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",260.6460995,126.02493951,215.23087253,2000,Acima de 2000
102,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",262.6462831,126.65073589,215.23087253,2000,Acima de 2000
103,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",264.6455751,127.2416427,215.23087253,2000,Acima de 2000
104,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",266.64584895,127.87312152,215.23087253,2000,Acima de 2000
105,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",268.64674225,128.34615848,215.23087253,2000,Acima de 2000
106,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",270.6462576,128.94753996,215.23087253,2000,Acima de 2000
107,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",274.65316405,130.15174046,215.23087253,2000,Acima de 2000
108,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",276.6459802,130.73000648,215.23087253,2000,Acima de 2000
109,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",278.64573425,131.23475679,215.23087253,2000,Acima de 2000
