,cafe_do_mario,vo_mira_conilon,vo_mira_arabica,cafe_saulo_gourmet,cafe_saulo_especial,temp_amb,umid_amb,timex,temp2,charge_bt_modificado,Acima de 2000,Abaixo de 2000
94,0,0,0,0,1,30.7,0.61,188.0008277,121.90503312,215.23087253,1,0
95,0,0,0,0,1,30.7,0.61,190.000372,122.47370469,215.23087253,1,0
96,0,0,0,0,1,30.7,0.61,192.0008449,123.06606504,215.23087253,1,0
97,0,0,0,0,1,30.7,0.61,194.00097195,123.71993657,215.23087253,1,0
98,0,0,0,0,1,30.7,0.61,196.0006945,124.3116084,215.23087253,1,0
99,0,0,0,0,1,30.7,0.61,198.0000635,124.84395845,215.23087253,1,0
100,0,0,0,0,1,30.7,0.61,199.99993059999997,125.42891987,215.23087253,1,0
101,0,0,0,0,1,30.7,0.61,202.00051985,126.02493951,215.23087253,1,0
102,0,0,0,0,1,30.7,0.61,204.00070345,126.65073589,215.23087253,1,0
103,0,0,0,0,1,30.7,0.61,205.99999544999997,127.2416427,215.23087253,1,0
104,0,0,0,0,1,30.7,0.61,208.0002693,127.87312152,215.23087253,1,0
105,0,0,0,0,1,30.7,0.61,210.0011626,128.34615848,215.23087253,1,0
106,0,0,0,0,1,30.7,0.61,212.00067795,128.94753996,215.23087253,1,0
107,0,0,0,0,1,30.7,0.61,216.00758439999998,130.15174046,215.23087253,1,0
108,0,0,0,0,1,30.7,0.61,218.00040055,130.73000648,215.23087253,1,0
109,0,0,0,0,1,30.7,0.61,220.00015459999997,131.23475679,215.23087253,1,0
110,0,0,0,0,1,30.7,0.61,222.00001915,131.7729419,215.23087253,1,0
111,0,0,0,0,1,30.7,0.61,224.00082544999998,132.31465546,215.23087253,1,0
112,0,0,0,0,1,30.7,0.61,226.00091285000002,132.88336991,215.23087253,1,0
113,0,0,0,0,1,30.7,0.61,228.00138679999998,133.4059125,215.23087253,1,0
114,0,0,0,0,1,30.7,0.61,230.0000903,133.90678763,215.23087253,1,0
115,0,0,0,0,1,30.7,0.61,231.99993454999998,134.49348734,215.23087253,1,0
116,0,0,0,0,1,30.7,0.61,234.00077955,135.05400391,215.23087253,1,0
117,0,0,0,0,1,30.7,0.61,236.00052949999997,135.61403772,215.23087253,1,0
118,0,0,0,0,1,30.7,0.61,237.99997309999998,136.17115208,215.23087253,1,0
119,0,0,0,0,1,30.7,0.61,240.00031854999997,136.67633538,215.23087253,1,0
120,0,0,0,0,1,30.7,0.61,242.00111195,137.20320881,215.23087253,1,0
